EPOCH,N_EPOCH,TIME:,LR,BATCH_SIZE,N_PARAM,FRAME_LENGTH,BACKBONE,HIDDEN_SIZE,TRAIN_LOSS,VAL_LOSS,VAL_NMSE,VAL_EVM,VAL_ACLR_L,VAL_ACLR_R,VAL_ACLR_AVG,TEST_LOSS,TEST_NMSE,TEST_EVM,TEST_ACLR_L,TEST_ACLR_R,TEST_ACLR_AVG
26,100,6.14601328,0.00050000,256,2751,200,dgru,23,0.00109515,0.00090016,-28.32103,-30.23586436,-32.70055665,-31.44243435,-32.07149550,0.00103879,-28.164267,-30.29151424,-31.93191569,-30.77431658,-31.35311613
27,100,6.36729005,0.00050000,256,2751,200,dgru,23,0.00107787,0.00089364,-28.353622,-30.26230251,-32.77456993,-31.50786248,-32.14121621,0.00103184,-28.193039,-30.31413977,-31.97915808,-30.83124557,-31.40520183
28,100,6.58343529,0.00050000,256,2751,200,dgru,23,0.00106188,0.00087810,-28.42805,-30.32809296,-32.75981458,-31.53991705,-32.14986581,0.00101259,-28.27243,-30.37314291,-31.96295310,-30.86795316,-31.41545313
29,100,6.79701192,0.00050000,256,2751,200,dgru,23,0.00104576,0.00086810,-28.479559,-30.37975153,-32.80993408,-31.59037059,-32.20015234,0.00100120,-28.321619,-30.42664597,-32.00177068,-30.89272239,-31.44724653
30,100,7.01778512,0.00050000,256,2751,200,dgru,23,0.00103168,0.00085853,-28.527536,-30.41750002,-32.77638365,-31.57004561,-32.17321463,0.00098853,-28.37736,-30.47321573,-31.96904896,-30.85653692,-31.41279294
31,100,7.23099479,0.00050000,256,2751,200,dgru,23,0.00101820,0.00084771,-28.581858,-30.45988951,-32.74972933,-31.61088860,-32.18030897,0.00097583,-28.430841,-30.51004645,-31.96136591,-30.88307203,-31.42221897
32,100,7.44203653,0.00050000,256,2751,200,dgru,23,0.00100587,0.00083977,-28.622946,-30.50194959,-32.77629401,-31.62378303,-32.20003852,0.00096695,-28.47103,-30.54603704,-31.98876808,-30.87873680,-31.43375244
33,100,7.66437074,0.00050000,256,2751,200,dgru,23,0.00099267,0.00083700,-28.638506,-30.51631408,-32.83660762,-31.67810725,-32.25735744,0.00096470,-28.482126,-30.54820617,-32.02838022,-30.91015361,-31.46926691
34,100,7.87850233,0.00050000,256,2751,200,dgru,23,0.00098021,0.00082767,-28.686773,-30.55756090,-32.82488345,-31.65775010,-32.24131677,0.00095222,-28.53858,-30.59721230,-32.03407290,-30.88220142,-31.45813716
35,100,8.10013460,0.00050000,256,2751,200,dgru,23,0.00096946,0.00081874,-28.73287,-30.59979936,-32.80293334,-31.70657268,-32.25475301,0.00094135,-28.586096,-30.63249460,-32.00685783,-30.90353095,-31.45519439
36,100,8.33647265,0.00050000,256,2751,200,dgru,23,0.00095849,0.00081223,-28.76888,-30.62681250,-32.83053328,-31.70235920,-32.26644624,0.00093267,-28.627235,-30.67707106,-32.03099218,-30.87536034,-31.45317626
37,100,8.55401729,0.00050000,256,2751,200,dgru,23,0.00094791,0.00080807,-28.791292,-30.64430324,-32.86393446,-31.73461828,-32.29927637,0.00092645,-28.65629,-30.69593834,-32.06381627,-30.88808332,-31.47594979
38,100,8.77410459,0.00050000,256,2751,200,dgru,23,0.00093987,0.00079653,-28.853989,-30.70951052,-32.88640355,-31.81007227,-32.34823791,0.00091597,-28.703962,-30.74252424,-32.05305701,-30.92307783,-31.48806742
39,100,9.00139452,0.00050000,256,2751,200,dgru,23,0.00093088,0.00079395,-28.867624,-30.71154355,-32.87791430,-31.78037692,-32.32914561,0.00091045,-28.730154,-30.75406066,-32.04413375,-30.89372738,-31.46893056
40,100,9.22244368,0.00050000,256,2751,200,dgru,23,0.00092045,0.00078482,-28.918089,-30.75973673,-32.86890523,-31.80261164,-32.33575843,0.00090220,-28.76943,-30.79218641,-32.02995102,-30.89319094,-31.46157098
41,100,9.44284229,0.00050000,256,2751,200,dgru,23,0.00091095,0.00078063,-28.94197,-30.77127778,-32.85189225,-31.81983967,-32.33586596,0.00089632,-28.798141,-30.81608148,-32.01538730,-30.88780928,-31.45159829
42,100,9.65430668,0.00050000,256,2751,200,dgru,23,0.00090365,0.00077334,-28.982513,-30.81288534,-32.88772068,-31.85541912,-32.37156990,0.00088873,-28.834381,-30.84442181,-32.03165149,-30.91339501,-31.47252325
43,100,9.87163119,0.00050000,256,2751,200,dgru,23,0.00089590,0.00077150,-28.991724,-30.81281378,-32.79811127,-31.79923569,-32.29867348,0.00088205,-28.866076,-30.86318775,-31.97816108,-30.88006260,-31.42911184
44,100,10.07353419,0.00050000,256,2751,200,dgru,23,0.00088768,0.00076652,-29.022087,-30.83086302,-32.90389343,-31.90033646,-32.40211495,0.00088029,-28.876272,-30.86838251,-32.03241364,-30.92004130,-31.47622747
45,100,10.28446567,0.00050000,256,2751,200,dgru,23,0.00087983,0.00075780,-29.069902,-30.87634680,-32.82228050,-31.81779705,-32.32003877,0.00086882,-28.931808,-30.91559356,-31.96489470,-30.84982745,-31.40736108
46,100,10.49997934,0.00050000,256,2751,200,dgru,23,0.00087360,0.00075759,-29.072157,-30.85112356,-32.77621478,-31.79266757,-32.28444118,0.00086510,-28.951288,-30.93123521,-31.92343111,-30.80163726,-31.36253418
47,100,10.71271258,0.00050000,256,2751,200,dgru,23,0.00086777,0.00075132,-29.108007,-30.89880223,-32.85118878,-31.87293817,-32.36206348,0.00086008,-28.975916,-30.94639641,-31.97292687,-30.87276327,-31.42284507
48,100,10.92770282,0.00050000,256,2751,200,dgru,23,0.00085998,0.00074748,-29.132391,-30.92122725,-32.95132501,-31.97097508,-32.46115005,0.00085842,-28.984015,-30.95906859,-32.02407047,-30.91421606,-31.46914327
49,100,11.13428168,0.00050000,256,2751,200,dgru,23,0.00085430,0.00074239,-29.161154,-30.94569426,-32.88866189,-31.96431166,-32.42648678,0.00085189,-29.016806,-30.98381780,-31.97617354,-30.90710747,-31.44164050
50,100,11.34808774,0.00050000,256,2751,200,dgru,23,0.00084787,0.00073697,-29.192047,-30.96432403,-32.86034803,-31.94557127,-32.40295965,0.00084450,-29.053335,-31.00904717,-31.93736294,-30.86935758,-31.40336026
51,100,11.55889548,0.00050000,256,2751,200,dgru,23,0.00084208,0.00073765,-29.188265,-30.94958408,-32.85291804,-31.92064348,-32.38678076,0.00084213,-29.067368,-31.00754622,-31.93753405,-30.84573966,-31.39163685
52,100,11.76617690,0.00050000,256,2751,200,dgru,23,0.00083686,0.00073352,-29.213636,-30.96606790,-32.85596045,-31.96202933,-32.40899489,0.00083974,-29.079918,-31.01985645,-31.93460712,-30.84940496,-31.39200604
53,100,11.97190297,0.00050000,256,2751,200,dgru,23,0.00083107,0.00072703,-29.251986,-31.00382157,-32.92383033,-32.01811620,-32.47097326,0.00083129,-29.121916,-31.05966025,-31.96153517,-30.87580344,-31.41866930
54,100,12.18512242,0.00050000,256,2751,200,dgru,23,0.00082468,0.00072729,-29.249853,-30.99722861,-32.87519225,-31.93949382,-32.40734303,0.00083045,-29.127249,-31.05229440,-31.92304606,-30.81619462,-31.36962034
