EPOCH,N_EPOCH,TIME:,LR,BATCH_SIZE,N_PARAM,FRAME_LENGTH,BACKBONE,HIDDEN_SIZE,THX,THH,SP_T_DX,SP_T_DH,SP_T_DV,HW_PARAM,TRAIN_LOSS,VAL_LOSS,VAL_NMSE,VAL_EVM,VAL_ACLR_L,VAL_ACLR_R,VAL_ACLR_AVG,TEST_LOSS,TEST_NMSE,TEST_EVM,TEST_ACLR_L,TEST_ACLR_R,TEST_ACLR_AVG
84,100,48.03558694,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498468,0.00356049,1063.63533807,0.00019505,0.00016546,-33.691288,-35.90117445,-42.19097138,-39.97738653,-41.08417896,0.00020593,-33.21513,-35.92724843,-42.62432019,-40.17073764,-41.39752892
85,100,48.59413716,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498466,0.00356047,1063.63535766,0.00019202,0.00016242,-33.77337,-35.97563347,-42.19511019,-39.96455246,-41.07983132,0.00020195,-33.299576,-36.01588149,-42.72256982,-40.21904306,-41.47080644
86,100,49.15314180,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498463,0.00356045,1063.63537724,0.00018921,0.00015981,-33.84331,-36.05719055,-42.27548354,-40.07173998,-41.17361176,0.00019871,-33.369022,-36.08839272,-42.81281732,-40.29250955,-41.55266343
87,100,49.69728800,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498460,0.00356043,1063.63539682,0.00018616,0.00015719,-33.916447,-36.13839766,-42.33138576,-40.09000953,-41.21069765,0.00019557,-33.43838,-36.17232693,-42.95047536,-40.29424601,-41.62236069
88,100,50.24080168,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498467,0.00356048,1063.63534775,0.00018347,0.00015463,-33.987717,-36.21252166,-42.40207929,-40.18086238,-41.29147084,0.00019206,-33.515827,-36.24796559,-43.01430197,-40.37516820,-41.69473509
89,100,50.78792942,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498464,0.00356046,1063.63536756,0.00018041,0.00015181,-34.0659,-36.30386248,-42.45807254,-40.30222116,-41.38014685,0.00018851,-33.596508,-36.32542971,-43.11234085,-40.44717698,-41.77975891
90,100,51.35221212,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498461,0.00356044,1063.63538714,0.00017739,0.00014951,-34.134037,-36.35656920,-42.47630715,-40.33764617,-41.40697666,0.00018527,-33.672092,-36.39474281,-43.21574573,-40.54635450,-41.88105012
91,100,51.91587123,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498467,0.00356048,1063.63534775,0.00017450,0.00014665,-34.21697,-36.45316549,-42.58245112,-40.43495663,-41.50870388,0.00018167,-33.756504,-36.48802258,-43.33199151,-40.55777408,-41.94488280
92,100,52.46851789,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498471,0.00356051,1063.63531827,0.00017154,0.00014399,-34.296852,-36.56863330,-42.65246454,-40.55209614,-41.60228034,0.00017833,-33.83699,-36.60744006,-43.42915396,-40.61197761,-42.02056578
93,100,53.03110068,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498471,0.00356051,1063.63531827,0.00016844,0.00014097,-34.38905,-36.63655745,-42.70721776,-40.55311793,-41.63016784,0.00017446,-33.93066,-36.66000602,-43.51950547,-40.70476261,-42.11213404
94,100,53.59191169,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498461,0.00356044,1063.63538714,0.00016524,0.00013836,-34.47005,-36.74613317,-42.76236572,-40.64141834,-41.70189203,0.00017133,-34.009586,-36.76065094,-43.63440477,-40.73812099,-42.18626288
95,100,54.15591902,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498477,0.00356055,1063.63527911,0.00016226,0.00013534,-34.566097,-36.86265399,-42.83004223,-40.70697576,-41.76850899,0.00016706,-34.12018,-36.89092073,-43.71854588,-40.83063632,-42.27459110
96,100,54.71598777,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498468,0.00356049,1063.63533807,0.00015909,0.00013268,-34.654125,-36.95033734,-42.86058956,-40.75155906,-41.80607431,0.00016367,-34.207012,-36.97204196,-43.81622642,-40.85956768,-42.33789705
97,100,55.26445162,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498470,0.00356050,1063.63532817,0.00015576,0.00012953,-34.75704,-37.09001492,-42.92193204,-40.82734378,-41.87463791,0.00015920,-34.326958,-37.11879389,-43.94546762,-40.90595183,-42.42570973
98,100,55.82441412,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498463,0.00356045,1063.63537724,0.00015252,0.00012689,-34.847553,-37.18281689,-42.99852598,-41.00320681,-42.00086640,0.00015656,-34.40222,-37.17699800,-43.99691094,-41.04960150,-42.52325622
99,100,56.33512657,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498467,0.00356048,1063.63534775,0.00014929,0.00012348,-34.96541,-37.32690055,-43.04743653,-41.01623825,-42.03183739,0.00015163,-34.53883,-37.33590047,-44.10887342,-41.08625589,-42.59756466
