EPOCH,N_EPOCH,TIME:,LR,BATCH_SIZE,N_PARAM,FRAME_LENGTH,BACKBONE,HIDDEN_SIZE,THX,THH,SP_T_DX,SP_T_DH,SP_T_DV,HW_PARAM,TRAIN_LOSS,VAL_LOSS,VAL_NMSE,VAL_EVM,VAL_ACLR_L,VAL_ACLR_R,VAL_ACLR_AVG,TEST_LOSS,TEST_NMSE,TEST_EVM,TEST_ACLR_L,TEST_ACLR_R,TEST_ACLR_AVG
20,100,12.06979458,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498463,0.00356045,1063.63537724,0.00116736,0.00110328,-25.44417,-27.14427576,-32.48025108,-30.83192239,-31.65608674,0.00123239,-25.417734,-27.23376623,-33.05617034,-30.74298994,-31.89958014
21,100,12.57052710,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498471,0.00356051,1063.63531827,0.00107863,0.00101955,-25.786623,-27.51738686,-32.75523255,-31.13734083,-31.94628669,0.00114140,-25.75123,-27.59835474,-33.36849514,-31.04428445,-32.20638979
22,100,13.06336250,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498464,0.00356046,1063.63536756,0.00100022,0.00094639,-26.10983,-27.86376309,-33.02453430,-31.44750769,-32.23602100,0.00106199,-26.064947,-27.93920842,-33.64575637,-31.35513615,-32.50044626
23,100,13.56087014,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498463,0.00356045,1063.63537724,0.00093275,0.00088199,-26.41574,-28.19711131,-33.28441756,-31.73306962,-32.50874359,0.00099112,-26.365042,-28.27259185,-33.92961470,-31.63625233,-32.78293352
24,100,14.06864045,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498471,0.00356051,1063.63531827,0.00087378,0.00082529,-26.704329,-28.50696473,-33.53582217,-32.02284139,-32.77933178,0.00092917,-26.645943,-28.58222040,-34.19075870,-31.93046210,-33.06061040
25,100,14.61518131,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498466,0.00356047,1063.63535766,0.00082069,0.00077485,-26.97798,-28.80488631,-33.76503020,-32.27818826,-33.02160923,0.00087458,-26.90943,-28.87003716,-34.44521216,-32.19522089,-33.32021653
26,100,15.19553974,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498466,0.00356047,1063.63535766,0.00077377,0.00072926,-27.241392,-29.08930131,-33.98914633,-32.53705849,-33.26310241,0.00082555,-27.160696,-29.14519773,-34.67890337,-32.47131696,-33.57511017
27,100,15.78756133,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498467,0.00356048,1063.63534775,0.00073172,0.00069000,-27.481524,-29.34296623,-34.20534528,-32.77509663,-33.49022095,0.00078184,-27.39743,-29.40375880,-34.91491479,-32.72775456,-33.82133467
28,100,16.35280742,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498463,0.00356045,1063.63537724,0.00069408,0.00065298,-27.721102,-29.60591170,-34.41205882,-33.01502569,-33.71354226,0.00074194,-27.625809,-29.65696090,-35.13059172,-32.98517659,-34.05788416
29,100,16.91905858,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498460,0.00356043,1063.63539682,0.00066020,0.00062043,-27.943106,-29.84004069,-34.59557830,-33.24176239,-33.91867035,0.00070663,-27.838148,-29.88713371,-35.33005785,-33.23474635,-34.28240210
